Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
FRG,1450000000.0,39690000.0,26040000.0,0.035,0.30260000000000004,0.782,0.045700000000000005,0.02,3.04,170930.0,36.2,0.005600000000000001,68181.0
FRGI,419770000.0,25290000.0,24680000.0,0.027999999999999997,0.0,,-0.0009,0.065,12.62,127080.0,16.27,0.0031,117827.0
FRHC,3110000000.0,58400000.0,15920000.0,0.7286,-0.0004,0.03,0.06309999999999999,0.0344,0.56,984260.0,52.73,-0.0383,681590.0
FRLN,505880000.0,34740000.0,12660000.0,,,0.2874,,0.0022,2.33,12170.0,14.56,-0.026699999999999998,19115.0
FRME,2480000000.0,53840000.0,53150000.0,0.011000000000000001,-0.0069,0.753,0.0529,0.013600000000000001,3.88,186290.0,44.78,0.033,175413.0
FROG,4670000000.0,91880000.0,59910000.0,0.207,-0.1855,0.648,0.14400000000000002,0.0546,2.42,1350000.0,49.66,-0.0719,1662508.0
FRPH,461370000.0,9520000.0,6000000.0,0.006999999999999999,-0.13269999999999998,0.502,0.0069,0.0106,4.38,14510.0,47.86,0.0183,21283.0
FRPT,6250000000.0,40680000.0,39000000.0,0.011000000000000001,-0.12689999999999999,0.961,-0.0196,0.0277,3.49,308950.0,147.37,-0.0492,417131.0
FRSX,479810000.0,64150000.00000001,35350000.0,,,0.013600000000000001,,0.0662,0.15,15700000.0,7.48,-0.0922,5412871.0
FRTA,1540000000.0,65810000.0,29200000.0,0.017,-0.9013,0.961,0.0098,0.0391,1.69,677310.0,23.44,0.0013,1908802.0
FSBW,273800000.0,4230000.0,3700000.0,0.005,-0.1945,0.649,0.016399999999999998,0.0083,2.63,11650.0,65.19,0.0242,28269.0
FSFG,152270000.0,2370000.0,1800000.0,0.069,-0.0095,0.348,-0.0143,0.0097,3.46,5020.0,63.98,0.0154,2527.0
FSII,206680000.0,20130000.0,,,,,,,,482540.0,10.27,-0.0144,65082.0
FSLR,8400000000.0,105970000.0,93320000.0,0.085,-0.5537,0.8220000000000001,0.0877,0.0836,2.98,2620000.0,78.88,-0.0518,2348096.0
FSRV,414690000.0,31920000.0,25670000.0,,,0.6679999999999999,-0.0556,0.0785,1.6,1250000.0,13.19,-0.058499999999999996,645622.0
FSRXU,,,5340000.0,,,,,,,1180000.0,10.24,-0.021,448487.0
FSSIU,,,,,,,,,0.0,615000.0,10.24,-0.0058,208516.0
FSTR,193030000.0,10560000.0,9930000.0,0.036000000000000004,0.0,0.732,-0.0034999999999999996,0.0097,2.07,46570.0,17.25,0.024300000000000002,57832.0
FSTX,90010000.0,4310000.0,1410000.0,0.055,0.0,0.368,1.2486,0.009399999999999999,0.22,61260.0,8.68,-0.0258,78180.0
FSV,6830000000.0,43570000.0,34060000.0,0.1576,0.0,0.7199,,0.0039000000000000003,2.75,47910.0,156.69,0.012,40154.0
FSZ,,,,,,,,,,5820.0,61.75,-0.0015,5453.0
FTA,,,,,,,,,,61450.0,60.34,0.0014000000000000002,118446.0
FTAAU,,,,,,,,,,1290000.0,10.25,-0.0106,375737.0
FTAG,,,,,,,,,,1400.0,29.44,-0.0105,797.0
FTC,,,,,,,,,,56450.0,96.43,-0.039,30990.0
FTCS,,,,,,,,,,505960.0,66.61,-0.011399999999999999,763930.0
FTCV,303750000.0,29490000.0,21350000.0,,,0.087,2.5850999999999997,0.0008,0.16,104730.0,10.3,-0.015300000000000001,163570.0
FTCVU,,,5330000.0,,,0.1893,,0.0001,0.0,133760.0,10.9,-0.0215,32682.0
FTDR,4520000000.0,85520000.0,85330000.0,0.001,0.0,,-0.011399999999999999,0.0277,5.58,422960.0,53.16,0.0087,386526.0
FTEK,88650000.0,24700000.0,17970000.0,0.273,-0.0825,0.19899999999999998,-0.1918,0.045899999999999996,0.48,1720000.0,3.44,-0.0728,472967.0
FTFT,340860000.0,35180000.0,34720000.0,0.46909999999999996,0.0,0.037000000000000005,,0.017,0.05,13110000.0,5.52,-0.023,2920483.0
FTGC,,,,,,,,,,406890.0,21.33,0.0019,647512.0
FTHI,,,,,,,,,,10160.0,20.79,0.001,9635.0
FTHM,578370000.0,12160000.0,5130000.0,0.266,0.0,0.195,0.2758,0.050199999999999995,2.27,113310.0,39.97,-0.0782,60107.0
FTIV,327390000.0,31480000.0,23610000.0,,,,,0.0064,0.29,531990.0,10.4,-0.014199999999999999,593299.0
FTIVU,265760000.0,31480000.0,15740000.0,,,0.289,-0.6594,0.0,0.0,69790.0,11.0,-0.0053,142.0
FTNT,27580000000.0,162400000.0,132449999.99999999,0.115,-0.0092,0.693,-0.022099999999999998,0.0215,2.51,1140000.0,169.88,-0.02,2188645.0
FTOC,829240000.0,77640000.0,,,,,,,0.33,2610000.0,10.68,-0.0848,2302891.0
FTOCU,,,,0.027999999999999997,,0.8528,,,0.03,332970.0,11.38,-0.0837,61863.0
FTRI,,,,,,,,,,19230.0,13.81,0.0029,79734.0
FTSL,,,,,,,,,,305370.0,47.95,-0.0023,309704.0
FTSM,,,,,,,,,,683330.0,60.01,0.0,472035.0
FTXD,,,,,,,,,,5440.0,29.11,-0.0218,32877.0
FTXH,,,,,,,,,,7750.0,25.47,-0.013300000000000001,104930.0
FTXL,,,,,,,,,,15170.0,63.54,-0.0287,14026.0
FTXN,,,,,,,,,,21060.0,15.48,0.013000000000000001,380185.0
FTXO,,,,,,,,,,85350.0,30.68,0.0024,176628.0
FTXR,,,,,,,,,,210810.0,31.08,-0.0042,733962.0
FULC,473740000.0,27260000.0,22330000.0,0.021,-0.04190000000000001,0.674,0.07980000000000001,0.032400000000000005,4.71,153690.0,14.59,0.0429,110593.0
FULT,2720000000.0,162060000.0,160700000.0,0.006999999999999999,-0.013600000000000001,0.653,0.0066,0.0242,4.17,935120.0,16.37,0.025,900956.0
FUNC,133910000.0,6990000.0,6280000.0,0.032,0.0194,0.414,0.151,0.0148,7.38,12640.0,18.94,0.023799999999999998,9941.0
FUND,228070000.0,29540000.0,,0.4252,0.0181,0.2412,,,0.27,68250.0,7.72,0.0092,42072.0
FUSN,503720000.0,41680000.0,31880000.0,0.09029999999999999,-0.0022,0.8009999999999999,0.051399999999999994,0.0106,5.44,61960.0,11.75,-0.0051,37265.0
FUTU,19690000000.0,130190000.0,52110000.0,0.009899999999999999,0.0,0.523,0.2346,0.3564,2.25,8270000.0,144.38,-0.08220000000000001,9349972.0
FUV,547470000.0,31680000.0,26210000.0,0.017,-0.0819,0.20600000000000002,1.1973,0.20329999999999998,1.93,2760000.0,16.6,-0.1017,2075048.0
FV,,,,,,,,,,143600.0,43.14,-0.0189,138480.0
FVAM,86390000.0,8620000.0,,,,0.1537,,,0.11,29680.0,10.02,-0.0319,28158.0
FVC,,,,,,,,,,20880.0,33.11,-0.0169,6092.0
FVCB,218940000.0,13480000.0,10950000.0,0.027000000000000003,0.017,0.295,0.023399999999999997,0.0106,5.57,20870.0,15.9,0.0063,30533.0
FVE,208600000.0,31490000.0,10450000.0,0.004,0.0,0.38,0.060599999999999994,0.029300000000000003,1.4,219010.0,6.19,-0.0175,184703.0
FWAA,373250000.0,35550000.0,,,,,,,0.38,716360.0,10.5,-0.0278,218633.0
FWONA,27240000000.0,231780000.0,205790000.0,0.0356,0.0,0.909,-0.0008,0.0046,5.87,161020.0,39.39,0.0051,172755.0
FWONK,9240000000.0,203500000.0,,0.0297,0.0,0.9616,,,7.4,957350.0,45.41,0.0116,644563.0
FWP,52380000.0,6790000.0,480000.0,,,0.14,0.0276,0.013500000000000002,0.11,57680.0,7.58,-0.0066,16725.0
